train_loss_step,train_acc_step,epoch,step,val_loss,val_acc,train_loss_epoch,train_acc_epoch
2.7866222858428955,0.260009765625,0,49,,,,
2.4088640213012695,0.324462890625,0,99,,,,
2.093794107437134,0.4022216796875,0,149,,,,
1.8338886499404907,0.466796875,0,199,,,,
1.6756142377853394,0.504974365234375,0,249,,,,
1.5590296983718872,0.53778076171875,0,299,,,,
1.4534051418304443,0.565704345703125,0,349,,,,
1.3928004503250122,0.582489013671875,0,399,,,,
1.3596627712249756,0.58941650390625,0,449,,,,
1.2981798648834229,0.60650634765625,0,499,,,,
1.2945644855499268,0.607940673828125,0,549,,,,
1.2589449882507324,0.616455078125,0,599,,,,
1.268738031387329,0.61212158203125,0,649,,,,
1.2468807697296143,0.62353515625,0,699,,,,
1.2334067821502686,0.622711181640625,0,749,,,,
1.226711392402649,0.622344970703125,0,799,,,,
1.1937406063079834,0.6346435546875,0,849,,,,
1.167626976966858,0.6429443359375,0,899,,,,
1.185292363166809,0.635345458984375,0,949,,,,
1.1831891536712646,0.637420654296875,0,999,,,,
1.166878581047058,0.641082763671875,0,1049,,,,
1.1540290117263794,0.64141845703125,0,1099,,,,
1.15451180934906,0.645233154296875,0,1149,,,,
1.1639240980148315,0.639495849609375,0,1199,,,,
1.1249295473098755,0.651214599609375,0,1249,,,,
1.1302634477615356,0.651611328125,0,1299,,,,
1.1257473230361938,0.65045166015625,0,1349,,,,
1.1358377933502197,0.650146484375,0,1399,,,,
1.107122540473938,0.65777587890625,0,1449,,,,
1.1086547374725342,0.654388427734375,0,1499,,,,
1.1072344779968262,0.653778076171875,0,1549,,,,
1.1094286441802979,0.654876708984375,0,1599,,,,
1.099099040031433,0.65936279296875,0,1649,,,,
1.1012897491455078,0.657501220703125,0,1699,,,,
1.095229983329773,0.6566162109375,0,1749,,,,
1.0985546112060547,0.658203125,0,1799,,,,
1.094382882118225,0.658447265625,0,1849,,,,
1.0927133560180664,0.65863037109375,0,1899,,,,
1.0761586427688599,0.662322998046875,0,1949,,,,
1.082567572593689,0.664581298828125,0,1999,,,,
1.0815891027450562,0.66461181640625,0,2049,,,,
1.0816818475723267,0.66229248046875,0,2099,,,,
1.076488971710205,0.662872314453125,0,2149,,,,
1.0734665393829346,0.66632080078125,0,2199,,,,
1.0666941404342651,0.67047119140625,0,2249,,,,
1.0739002227783203,0.66485595703125,0,2299,,,,
1.0759108066558838,0.663818359375,0,2349,,,,
1.047175645828247,0.673187255859375,0,2399,,,,
1.0753577947616577,0.664398193359375,0,2449,,,,
1.0691496133804321,0.665771484375,0,2499,,,,
1.061620831489563,0.667999267578125,0,2549,,,,
1.0488895177841187,0.67254638671875,0,2599,,,,
1.0583950281143188,0.667938232421875,0,2649,,,,
1.048889398574829,0.673095703125,0,2699,,,,
1.0540357828140259,0.670074462890625,0,2749,,,,
